id,code,name,type,user_type/id,parent_id/id,reconcile,chart_template_id/id
coa_basic,0,Basic,view,l10n_id.user_type_view,,FALSE,l10n_id.account_chart_template_basic
asset,100000,AKTIVA,view,account.data_account_type_asset,coa_basic,FALSE,l10n_id.account_chart_template_basic
current_asset,110000,Aktiva Lancar,view,l10n_id.user_type_current_asset,asset,FALSE,l10n_id.account_chart_template_basic
cash_expenditure,111000,Kas,view,l10n_id.user_type_cash,current_asset,FALSE,l10n_id.account_chart_template_basic
111010,111010,Kas IDR,liquidity,l10n_id.user_type_cash,cash_expenditure,FALSE,l10n_id.account_chart_template_basic
111020,111020,Kas USD,liquidity,l10n_id.user_type_cash,cash_expenditure,FALSE,l10n_id.account_chart_template_basic
bank_expenditure,112000,Bank,view,l10n_id.user_type_cash,current_asset,FALSE,l10n_id.account_chart_template_basic
112010,112010,Bank Akun IDR Norek 1234,liquidity,l10n_id.user_type_cash,bank_expenditure,FALSE,l10n_id.account_chart_template_basic
112020,112020,Bank Akun IDR Norek 1345,liquidity,l10n_id.user_type_cash,bank_expenditure,FALSE,l10n_id.account_chart_template_basic
112610,112610,Bank Akun USD Norek 2345,liquidity,l10n_id.user_type_cash,bank_expenditure,FALSE,l10n_id.account_chart_template_basic
112620,112620,Bank Akun USD Norek 2456,liquidity,l10n_id.user_type_cash,bank_expenditure,FALSE,l10n_id.account_chart_template_basic
deposit_expenditure,113000,Deposito,view,l10n_id.user_type_cash,current_asset,FALSE,l10n_id.account_chart_template_basic
113010,113010,Deposito IDR Norek 1234,liquidity,l10n_id.user_type_cash,deposit_expenditure,FALSE,l10n_id.account_chart_template_basic
113020,113020,Deposito IDR Norek 1345,liquidity,l10n_id.user_type_cash,deposit_expenditure,FALSE,l10n_id.account_chart_template_basic
113610,113610,Deposito USD Norek 2345,liquidity,l10n_id.user_type_cash,deposit_expenditure,FALSE,l10n_id.account_chart_template_basic
113620,113620,Deposito USD Norek 2456,liquidity,l10n_id.user_type_cash,deposit_expenditure,FALSE,l10n_id.account_chart_template_basic
receivables,114000,Piutang,view,l10n_id.user_type_account_receivable,current_asset,FALSE,l10n_id.account_chart_template_basic
account_receivable,114100,Piutang Usaha,receivable,l10n_id.user_type_account_receivable,receivables,TRUE,l10n_id.account_chart_template_basic
allowance_doubtful_account,114200,Penyisihan Piutang Ragu-ragu,other,l10n_id.user_type_account_receivable,receivables,FALSE,l10n_id.account_chart_template_basic
advance_payment,115000,Uang Muka,view,l10n_id.user_type_current_asset,current_asset,FALSE,l10n_id.account_chart_template_basic
115010,115010,Uang Muka Pembelian,other,l10n_id.user_type_current_asset,advance_payment,FALSE,l10n_id.account_chart_template_basic
115020,115020,Uang Muka Sewa Tempat,other,l10n_id.user_type_current_asset,advance_payment,FALSE,l10n_id.account_chart_template_basic
accrued_income,116000,Pendapatan Yang Masih Harus Diterima,view,l10n_id.user_type_current_asset,current_asset,FALSE,l10n_id.account_chart_template_basic
116010,116010,Bunga Deposito,other,l10n_id.user_type_current_asset,accrued_income,FALSE,l10n_id.account_chart_template_basic
116020,116020,Bunga Obligasi,other,l10n_id.user_type_current_asset,accrued_income,FALSE,l10n_id.account_chart_template_basic
116030,116030,Deviden,other,l10n_id.user_type_current_asset,accrued_income,FALSE,l10n_id.account_chart_template_basic
116040,116040,Jasa Keagenan,other,l10n_id.user_type_current_asset,accrued_income,FALSE,l10n_id.account_chart_template_basic
prepaid_tax,117000,Pajak Dibayar Dimuka,view,l10n_id.user_type_current_asset,current_asset,FALSE,l10n_id.account_chart_template_basic
117010,117010,PPN Masukan (Pembelian),other,l10n_id.user_type_current_asset,prepaid_tax,FALSE,l10n_id.account_chart_template_basic
117020,117020,PPh 21,other,l10n_id.user_type_current_asset,prepaid_tax,FALSE,l10n_id.account_chart_template_basic
117030,117030,PPh 23,other,l10n_id.user_type_current_asset,prepaid_tax,FALSE,l10n_id.account_chart_template_basic
117040,117040,PPh Final Ps. 4 ayat 2,other,l10n_id.user_type_current_asset,prepaid_tax,FALSE,l10n_id.account_chart_template_basic
117050,117050,PPh 25,other,l10n_id.user_type_current_asset,prepaid_tax,FALSE,l10n_id.account_chart_template_basic
prepaid_expenses,118000,Biaya Dibayar Dimuka,view,l10n_id.user_type_current_asset,current_asset,FALSE,l10n_id.account_chart_template_basic
118010,118010,Sewa Gedung,other,l10n_id.user_type_current_asset,prepaid_expenses,FALSE,l10n_id.account_chart_template_basic
118020,118020,Asuransi,other,l10n_id.user_type_current_asset,prepaid_expenses,FALSE,l10n_id.account_chart_template_basic
long_term_investment,119000,Investasi Jangka Panjang,view,l10n_id.user_type_current_asset,current_asset,FALSE,l10n_id.account_chart_template_basic
119010,119010,Penyertaan Saham,other,l10n_id.user_type_current_asset,long_term_investment,FALSE,l10n_id.account_chart_template_basic
119020,119020,Obligasi,other,l10n_id.user_type_current_asset,long_term_investment,FALSE,l10n_id.account_chart_template_basic
119030,119030,Investasi Properti,other,l10n_id.user_type_current_asset,long_term_investment,FALSE,l10n_id.account_chart_template_basic
fixed_asset,120000,Aktiva Tetap,view,l10n_id.user_type_fixed_asset,asset,FALSE,l10n_id.account_chart_template_basic
fa_land,121000,Tanah,other,l10n_id.user_type_fixed_asset,fixed_asset,FALSE,l10n_id.account_chart_template_basic
fa_building,122000,Bangunan,other,l10n_id.user_type_fixed_asset,fixed_asset,FALSE,l10n_id.account_chart_template_basic
fa_automotive,123000,Kendaraan,other,l10n_id.user_type_fixed_asset,fixed_asset,FALSE,l10n_id.account_chart_template_basic
fa_equipment,124000,Peralatan,other,l10n_id.user_type_fixed_asset,fixed_asset,FALSE,l10n_id.account_chart_template_basic
fa_furniture,125000,Furniture,other,l10n_id.user_type_fixed_asset,fixed_asset,FALSE,l10n_id.account_chart_template_basic
accumulated_depreciation,130000,Akumulasi Penyusutan,view,l10n_id.user_type_accumulated_depreciation,asset,FALSE,l10n_id.account_chart_template_basic
ad_building,131000,Bangunan,other,l10n_id.user_type_accumulated_depreciation,accumulated_depreciation,FALSE,l10n_id.account_chart_template_basic
ad_automotive,132000,Kendaraan,other,l10n_id.user_type_accumulated_depreciation,accumulated_depreciation,FALSE,l10n_id.account_chart_template_basic
ad_equipment,133000,Peralatan,other,l10n_id.user_type_accumulated_depreciation,accumulated_depreciation,FALSE,l10n_id.account_chart_template_basic
ad_furniture,134000,Furniture,other,l10n_id.user_type_accumulated_depreciation,accumulated_depreciation,FALSE,l10n_id.account_chart_template_basic
intangible_asset,140000,Aktiva Tidak Berwujud,view,l10n_id.user_type_intangible_asset,asset,FALSE,l10n_id.account_chart_template_basic
141000,141000,Hak Patent,other,l10n_id.user_type_intangible_asset,intangible_asset,FALSE,l10n_id.account_chart_template_basic
142000,142000,Merk dan Cap Dagang,other,l10n_id.user_type_intangible_asset,intangible_asset,FALSE,l10n_id.account_chart_template_basic
143000,143000,Goodwill,other,l10n_id.user_type_intangible_asset,intangible_asset,FALSE,l10n_id.account_chart_template_basic
144000,144000,Franchise,other,l10n_id.user_type_intangible_asset,intangible_asset,FALSE,l10n_id.account_chart_template_basic
other_asset,150000,Aktiva Lain-lain,view,l10n_id.user_type_intangible_asset,asset,FALSE,l10n_id.account_chart_template_basic
151000,151000,Biaya Pra-operasi,view,l10n_id.user_type_intangible_asset,other_asset,FALSE,l10n_id.account_chart_template_basic
151010,151010,Harga Perolehan Biaya Pra-operasi,other,l10n_id.user_type_intangible_asset,151000,FALSE,l10n_id.account_chart_template_basic
151020,151020,Amortisasi Biaya Pra-operasi,other,l10n_id.user_type_intangible_asset,151000,FALSE,l10n_id.account_chart_template_basic
