"id","code","name","type","user_type/id","parent_id/id","reconcile","chart_template_id/id"
"l10n_id_account_template_art_1",21220,"Advance Customer Payments ","other","l10n_id.user_type_other_current_liability","other_current_liability","FALSE","l10n_id.account_chart_template_art"
"l10n_id_account_template_art_2",41000,"Sales","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_art"
"l10n_id_account_template_art_3",51000,"Subcontracted Services ","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_art"
"l10n_id_account_template_art_4",61000,"Advertising and Promotion","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_art"
"l10n_id_account_template_art_5",61100,"Automobile Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_art"
"l10n_id_account_template_art_6",61200,"Bank Service Charges","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_art"
"l10n_id_account_template_art_7",61300,"Computer and Internet Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_art"
"l10n_id_account_template_art_8",61400,"Depreciation Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_art"
"l10n_id_account_template_art_9",61500,"Dues and Subscriptions","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_art"
"l10n_id_account_template_art_10",61600,"Equipment Rental","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_art"
"l10n_id_account_template_art_11",61700,"Insurance Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_art"
"l10n_id_account_template_art_12",61800,"Interest Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_art"
"l10n_id_account_template_art_13",61900,"Meals and Entertainment","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_art"
"l10n_id_account_template_art_14",62000,"Office Supplies","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_art"
"l10n_id_account_template_art_15",62100,"Payroll Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_art"
"l10n_id_account_template_art_16",62200,"Postage and Delivery","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_art"
"l10n_id_account_template_art_17",62300,"Professional Fees","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_art"
"l10n_id_account_template_art_18",62400,"Rent Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_art"
"l10n_id_account_template_art_19",62500,"Repairs and Maintenance","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_art"
"l10n_id_account_template_art_20",62600,"Telephone Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_art"
"l10n_id_account_template_art_21",62700,"Travel Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_art"
"l10n_id_account_template_art_22",62800,"Utilities","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_art"
"l10n_id_account_template_art_23",81000,"Ask My Accountant","other","l10n_id.user_type_other_expense","other_expense","FALSE","l10n_id.account_chart_template_art"
