"id","code","name","type","user_type/id","parent_id/id","reconcile","chart_template_id/id"
"l10n_id_account_template_construction_1",12300,"Construction Equipment","other","l10n_id.user_type_fixed_asset","fixed_asset","FALSE","l10n_id.account_chart_template_construction_trade"
"l10n_id_account_template_construction_2",21300,"Customer Deposits Received","other","l10n_id.user_type_liability","current_liability","FALSE","l10n_id.account_chart_template_construction_trade"
"l10n_id_account_template_construction_3",41000,"Job Income","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_construction_trade"
"l10n_id_account_template_construction_4",51000,"Equipment Rental for Jobs","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_construction_trade"
"l10n_id_account_template_construction_5",52000,"Job Materials Purchased","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_construction_trade"
"l10n_id_account_template_construction_6",53000,"Other Job Related Costs","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_construction_trade"
"l10n_id_account_template_construction_7",54000,"Subcontractors Expense","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_construction_trade"
"l10n_id_account_template_construction_8",55000,"Tools and Small Equipment","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_construction_trade"
"l10n_id_account_template_construction_9",56000,"Worker's Compensation Insurance","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_construction_trade"
"l10n_id_account_template_construction_10",61000,"Auto and Truck Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_construction_trade"
"l10n_id_account_template_construction_11",61100,"Bank Service Charges","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_construction_trade"
"l10n_id_account_template_construction_12",61200,"Business Licenses and Permits","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_construction_trade"
"l10n_id_account_template_construction_13",61300,"Computer and Internet Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_construction_trade"
"l10n_id_account_template_construction_14",61400,"Depreciation Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_construction_trade"
"l10n_id_account_template_construction_15",61500,"Insurance Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_construction_trade"
"l10n_id_account_template_construction_16",61600,"Interest Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_construction_trade"
"l10n_id_account_template_construction_17",61700,"Meals and Entertainment","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_construction_trade"
"l10n_id_account_template_construction_18",61800,"Office Supplies","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_construction_trade"
"l10n_id_account_template_construction_19",61900,"Payroll Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_construction_trade"
"l10n_id_account_template_construction_20",62000,"Professional Fees","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_construction_trade"
"l10n_id_account_template_construction_21",62100,"Rent Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_construction_trade"
"l10n_id_account_template_construction_22",62200,"Repairs and Maintenance","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_construction_trade"
"l10n_id_account_template_construction_23",62300,"Telephone Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_construction_trade"
"l10n_id_account_template_construction_24",62400,"Utilities","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_construction_trade"
"l10n_id_account_template_construction_25",81000,"Ask My Accountant","other","l10n_id.user_type_other_expense","other_expense","FALSE","l10n_id.account_chart_template_construction_trade"
