"id","code","name","type","user_type/id","parent_id/id","reconcile","chart_template_id/id"
"l10n_id_account_template_design_1",21220,"Advance Customer Payments ","other","l10n_id.user_type_other_current_liability","other_current_liability","FALSE","l10n_id.account_chart_template_design"
"l10n_id_account_template_design_2",41000,"Consulting Income","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_design"
"l10n_id_account_template_design_3",42000,"Design Income","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_design"
"l10n_id_account_template_design_4",51000,"Blueprints and Reproduction","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_design"
"l10n_id_account_template_design_5",52000,"Subcontracted Services ","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_design"
"l10n_id_account_template_design_6",61000,"Automobile Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_design"
"l10n_id_account_template_design_7",61100,"Bank Service Charges","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_design"
"l10n_id_account_template_design_8",61200,"Business Licenses and Permits","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_design"
"l10n_id_account_template_design_9",61300,"Computer and Internet Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_design"
"l10n_id_account_template_design_10",61400,"Continuing Education","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_design"
"l10n_id_account_template_design_11",61500,"Depreciation Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_design"
"l10n_id_account_template_design_12",61600,"Dues and Subscriptions","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_design"
"l10n_id_account_template_design_13",61700,"Insurance Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_design"
"l10n_id_account_template_design_14",61800,"Interest Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_design"
"l10n_id_account_template_design_15",61900,"Meals and Entertainment","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_design"
"l10n_id_account_template_design_16",62000,"Office Supplies","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_design"
"l10n_id_account_template_design_17",62100,"Payroll Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_design"
"l10n_id_account_template_design_18",62200,"Professional Fees","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_design"
"l10n_id_account_template_design_19",62300,"Rent Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_design"
"l10n_id_account_template_design_20",62400,"Repairs and Maintenance","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_design"
"l10n_id_account_template_design_21",62500,"Telephone Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_design"
"l10n_id_account_template_design_22",62600,"Utilities","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_design"
"l10n_id_account_template_design_23",81000,"Ask My Accountant","other","l10n_id.user_type_other_expense","other_expense","FALSE","l10n_id.account_chart_template_design"
