"id","code","name","type","user_type/id","parent_id/id","reconcile","chart_template_id/id"
"l10n_id_account_template_realestate_1",41000,"Commission Income","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_estatebroker"
"l10n_id_account_template_realestate_2",51000,"Commissions Paid","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_estatebroker"
"l10n_id_account_template_realestate_3",61000,"Advertising and Promotion","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_estatebroker"
"l10n_id_account_template_realestate_6",61100,"Automobile Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_estatebroker"
"l10n_id_account_template_realestate_7",61200,"Bank Service Charges","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_estatebroker"
"l10n_id_account_template_realestate_8",61300,"Business Licenses and Permits","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_estatebroker"
"l10n_id_account_template_realestate_9",61400,"Computer and Internet Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_estatebroker"
"l10n_id_account_template_realestate_10",61500,"Continuing Education","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_estatebroker"
"l10n_id_account_template_realestate_11",61600,"Depreciation Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_estatebroker"
"l10n_id_account_template_realestate_12",61700,"Dues and Subscriptions","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_estatebroker"
"l10n_id_account_template_realestate_13",61800,"Insurance Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_estatebroker"
"l10n_id_account_template_realestate_14",61900,"Interest Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_estatebroker"
"l10n_id_account_template_realestate_15",62000,"Meals and Entertainment","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_estatebroker"
"l10n_id_account_template_realestate_16",62100,"Office Supplies","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_estatebroker"
"l10n_id_account_template_realestate_17",62200,"Payroll Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_estatebroker"
"l10n_id_account_template_realestate_18",62300,"Postage and Delivery","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_estatebroker"
"l10n_id_account_template_realestate_19",62400,"Printing and Reproduction","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_estatebroker"
"l10n_id_account_template_realestate_20",62500,"Professional Fees","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_estatebroker"
"l10n_id_account_template_realestate_21",62600,"Rent Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_estatebroker"
"l10n_id_account_template_realestate_22",62700,"Repairs and Maintenance","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_estatebroker"
"l10n_id_account_template_realestate_23",62800,"Telephone Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_estatebroker"
"l10n_id_account_template_realestate_24",62900,"Utilities","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_estatebroker"
"l10n_id_account_template_realestate_25",81000,"Ask My Accountant","other","l10n_id.user_type_other_expense","other_expense","FALSE","l10n_id.account_chart_template_estatebroker"
