"id","code","name","type","user_type/id","parent_id/id","reconcile","chart_template_id/id"
"l10n_id_account_template_financial_service_1",41000,"Commission Income","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_financial_service"
"l10n_id_account_template_financial_service_2",42000,"Services Income","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_financial_service"
"l10n_id_account_template_financial_service_3",61000,"Advertising and Promotion","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_financial_service"
"l10n_id_account_template_financial_service_4",61100,"Automobile Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_financial_service"
"l10n_id_account_template_financial_service_5",61200,"Bank Service Charges","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_financial_service"
"l10n_id_account_template_financial_service_6",61300,"Business Licenses and Permits","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_financial_service"
"l10n_id_account_template_financial_service_7",61400,"Computer and Internet Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_financial_service"
"l10n_id_account_template_financial_service_8",61500,"Continuing Education","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_financial_service"
"l10n_id_account_template_financial_service_9",61600,"Depreciation Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_financial_service"
"l10n_id_account_template_financial_service_10",61700,"Dues and Subscriptions","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_financial_service"
"l10n_id_account_template_financial_service_11",61800,"Insurance Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_financial_service"
"l10n_id_account_template_financial_service_12",61900,"Interest Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_financial_service"
"l10n_id_account_template_financial_service_13",62000,"Meals and Entertainment","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_financial_service"
"l10n_id_account_template_financial_service_14",62100,"Office Supplies","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_financial_service"
"l10n_id_account_template_financial_service_15",62200,"Payroll Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_financial_service"
"l10n_id_account_template_financial_service_16",62300,"Postage and Delivery","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_financial_service"
"l10n_id_account_template_financial_service_17",62400,"Printing and Reproduction","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_financial_service"
"l10n_id_account_template_financial_service_18",62500,"Professional Fees","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_financial_service"
"l10n_id_account_template_financial_service_19",62600,"Rent Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_financial_service"
"l10n_id_account_template_financial_service_20",62700,"Telephone Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_financial_service"
"l10n_id_account_template_financial_service_21",62800,"Travel Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_financial_service"
"l10n_id_account_template_financial_service_22",62900,"Utilities","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_financial_service"
"l10n_id_account_template_financial_service_23",81000,"Ask My Accountant","other","l10n_id.user_type_other_expense","other_expense","FALSE","l10n_id.account_chart_template_financial_service"
