"id","code","name","type","user_type/id","parent_id/id","reconcile","chart_template_id/id"
"l10n_id_account_template_product_based_1",41000,"Sales","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_general_product"
"l10n_id_account_template_product_based_2",42000,"Shipping and Delivery Income","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_general_product"
"l10n_id_account_template_product_based_6",51000,"Freight and Shipping Costs","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_general_product"
"l10n_id_account_template_product_based_4",52000,"Merchant Account Fees","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_general_product"
"l10n_id_account_template_product_based_5",53000,"Product Samples Expense","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_general_product"
"l10n_id_account_template_product_based_3",54000,"Purchases - Resale Items","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_general_product"
"l10n_id_account_template_product_based_61100",61100,"Advertising and Promotion","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_product"
"l10n_id_account_template_product_based_7",61200,"Automobile Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_product"
"l10n_id_account_template_product_based_8",61300,"Bank Service Charges","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_product"
"l10n_id_account_template_product_based_9",61400,"Computer and Internet Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_product"
"l10n_id_account_template_product_based_10",61500,"Depreciation Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_product"
"l10n_id_account_template_product_based_11",61600,"Dues and Subscriptions","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_product"
"l10n_id_account_template_product_based_12",61700,"Insurance Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_product"
"l10n_id_account_template_product_based_13",61800,"Interest Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_product"
"l10n_id_account_template_product_based_14",61900,"Meals and Entertainment","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_product"
"l10n_id_account_template_product_based_15",62000,"Office Supplies","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_product"
"l10n_id_account_template_product_based_16",62100,"Payroll Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_product"
"l10n_id_account_template_product_based_17",62200,"Postage and Delivery","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_product"
"l10n_id_account_template_product_based_18",62300,"Professional Fees","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_product"
"l10n_id_account_template_product_based_19",62400,"Rent Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_product"
"l10n_id_account_template_product_based_20",62500,"Repairs and Maintenance","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_product"
"l10n_id_account_template_product_based_21",62600,"Telephone Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_product"
"l10n_id_account_template_product_based_22",62700,"Travel Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_product"
"l10n_id_account_template_product_based_23",62800,"Utilities","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_product"
"l10n_id_account_template_product_based_24",81000,"Ask My Accountant","other","l10n_id.user_type_other_expense","other_expense","FALSE","l10n_id.account_chart_template_general_product"
