"id","code","name","type","user_type/id","parent_id/id","reconcile","chart_template_id/id"
"l10n_id_account_template_service_based_2",41000,"Sales","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_general_service"
"l10n_id_account_template_service_based_3",61000,"Advertising and Promotion","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_service"
"l10n_id_account_template_service_based_4",61100,"Automobile Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_service"
"l10n_id_account_template_service_based_5",61200,"Bank Service Charges","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_service"
"l10n_id_account_template_service_based_6",61300,"Computer and Internet Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_service"
"l10n_id_account_template_service_based_7",61400,"Depreciation Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_service"
"l10n_id_account_template_service_based_8",61500,"Insurance Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_service"
"l10n_id_account_template_service_based_9",61600,"Interest Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_service"
"l10n_id_account_template_service_based_10",61700,"Meals and Entertainment","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_service"
"l10n_id_account_template_service_based_11",61800,"Office Supplies","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_service"
"l10n_id_account_template_service_based_12",61900,"Payroll Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_service"
"l10n_id_account_template_service_based_13",62000,"Professional Fees","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_service"
"l10n_id_account_template_service_based_14",62100,"Rent Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_service"
"l10n_id_account_template_service_based_15",62200,"Repairs and Maintenance","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_service"
"l10n_id_account_template_service_based_16",62300,"Telephone Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_service"
"l10n_id_account_template_service_based_17",62400,"Travel Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_service"
"l10n_id_account_template_service_based_18",62500,"Utilities","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_general_service"
"l10n_id_account_template_service_based_19",81000,"Ask My Accountant","other","l10n_id.user_type_other_expense","other_expense","FALSE","l10n_id.account_chart_template_general_service"
