"id","code","name","type","user_type/id","parent_id/id","reconcile","chart_template_id/id"
"l10n_id_account_template_hairsaloon_13000",13000,"Other Assets","view","l10n_id.user_type_other_asset","asset","FALSE","l10n_id.account_chart_template_hairorbeautyshop"
"l10n_id_account_template_hairsaloon_1",13100,"Security Deposits Asset","other","l10n_id.user_type_other_asset","l10n_id_account_template_hairsaloon_13000","FALSE","l10n_id.account_chart_template_hairorbeautyshop"
"l10n_id_account_template_hairsaloon_2",41000,"Retail Product Sales","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_hairorbeautyshop"
"l10n_id_account_template_hairsaloon_3",42000,"Services Income","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_hairorbeautyshop"
"l10n_id_account_template_hairsaloon_4",51000,"Merchant Account Fees","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_hairorbeautyshop"
"l10n_id_account_template_hairsaloon_5",52000,"Purchases-Resale Items","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_hairorbeautyshop"
"l10n_id_account_template_hairsaloon_6",61000,"Advertising and Promotion","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_hairorbeautyshop"
"l10n_id_account_template_hairsaloon_7",61100,"Bank Service Charges","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_hairorbeautyshop"
"l10n_id_account_template_hairsaloon_8",61200,"Business Licenses and Permits","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_hairorbeautyshop"
"l10n_id_account_template_hairsaloon_9",61300,"Computer and Internet Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_hairorbeautyshop"
"l10n_id_account_template_hairsaloon_10",61400,"Continuing Education","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_hairorbeautyshop"
"l10n_id_account_template_hairsaloon_11",61500,"Depreciation Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_hairorbeautyshop"
"l10n_id_account_template_hairsaloon_12",61600,"Dues and Subscriptions","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_hairorbeautyshop"
"l10n_id_account_template_hairsaloon_13",61700,"Insurance Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_hairorbeautyshop"
"l10n_id_account_template_hairsaloon_14",61800,"Interest Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_hairorbeautyshop"
"l10n_id_account_template_hairsaloon_15",61900,"Meals and Entertainment","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_hairorbeautyshop"
"l10n_id_account_template_hairsaloon_16",62000,"Office Supplies","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_hairorbeautyshop"
"l10n_id_account_template_hairsaloon_17",62100,"Payroll Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_hairorbeautyshop"
"l10n_id_account_template_hairsaloon_18",62200,"Professional Fees","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_hairorbeautyshop"
"l10n_id_account_template_hairsaloon_19",62300,"Rent Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_hairorbeautyshop"
"l10n_id_account_template_hairsaloon_20",62400,"Repairs and Maintenance","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_hairorbeautyshop"
"l10n_id_account_template_hairsaloon_21",62500,"Salon Supplies, Linens, Laundry","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_hairorbeautyshop"
"l10n_id_account_template_hairsaloon_22",62600,"Telephone Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_hairorbeautyshop"
"l10n_id_account_template_hairsaloon_23",62700,"Travel Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_hairorbeautyshop"
"l10n_id_account_template_hairsaloon_24",62800,"Utilities","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_hairorbeautyshop"
"l10n_id_account_template_hairsaloon_25",81000,"Ask My Accountant","other","l10n_id.user_type_other_expense","other_expense","FALSE","l10n_id.account_chart_template_hairorbeautyshop"
