"id","code","name","type","user_type/id","parent_id/id","reconcile","chart_template_id/id"
"l10n_id_account_template_medical_1",12300,"Medical Equipment","other","account.account_type_asset_view1","fixed_asset","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_13000",13000,"Other Assets","view","l10n_id.user_type_other_asset","asset","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_2",13100,"Security Deposits Asset","other","l10n_id.user_type_other_asset","l10n_id_account_template_medical_13000","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_3",41000,"Capitation Fees","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_4",41100,"Fee for Service Income","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_5",41200,"Nonmedical Income","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_6",41300,"Refunds","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_7",61000,"Advertising and Promotion","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_8",61100,"Automobile Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_9",61200,"Bank Service Charges","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_10",61300,"Business Licenses and Permits","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_11",61400,"Computer and Internet Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_12",61500,"Continuing Education","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_13",61600,"Depreciation Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_14",61700,"Dues and Subscriptions","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_15",61800,"Insurance Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_16",61900,"Interest Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_17",62000,"Janitorial Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_18",62100,"Laboratory Fees","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_19",62200,"Meals and Entertainment","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_20",62300,"Medical Records and Supplies","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_21",62400,"Office Supplies","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_22",62500,"Payroll Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_23",62600,"Professional Fees","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_24",62700,"Reference Materials","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_25",62800,"Rent Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_26",62900,"Repairs and Maintenance","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_27",63000,"Small Medical Equipment","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_28",63100,"Telephone Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_29",63200,"Travel Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_30",63300,"Uniforms","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_31",63400,"Utilities","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_32",63500,"Vaccines and Medicines","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_healthservice"
"l10n_id_account_template_medical_33",81000,"Ask My Accountant","other","l10n_id.user_type_other_expense","other_expense","FALSE","l10n_id.account_chart_template_healthservice"
