"id","code","name","type","user_type/id","parent_id/id","reconcile","chart_template_id/id"
"l10n_id_account_template_insurance_1",41000,"Commission Income","other","l10n_id.user_type_expense","income","FALSE","l10n_id.account_chart_template_insuranceagency"
"l10n_id_account_template_insurance_2",61000,"Advertising and Promotion","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_insuranceagency"
"l10n_id_account_template_insurance_3",61100,"Automobile Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_insuranceagency"
"l10n_id_account_template_insurance_4",61200,"Bank Service Charges","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_insuranceagency"
"l10n_id_account_template_insurance_5",61300,"Business Licenses and Permits","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_insuranceagency"
"l10n_id_account_template_insurance_6",61400,"Computer and Internet Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_insuranceagency"
"l10n_id_account_template_insurance_7",61500,"Continuing Education","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_insuranceagency"
"l10n_id_account_template_insurance_8",61600,"Depreciation Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_insuranceagency"
"l10n_id_account_template_insurance_9",61700,"Dues and Subscriptions","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_insuranceagency"
"l10n_id_account_template_insurance_10",61800,"Insurance Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_insuranceagency"
"l10n_id_account_template_insurance_11",61900,"Interest Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_insuranceagency"
"l10n_id_account_template_insurance_12",62000,"Meals and Entertainment","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_insuranceagency"
"l10n_id_account_template_insurance_13",62100,"Office Supplies","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_insuranceagency"
"l10n_id_account_template_insurance_14",62200,"Payroll Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_insuranceagency"
"l10n_id_account_template_insurance_15",62300,"Postage and Delivery","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_insuranceagency"
"l10n_id_account_template_insurance_16",62400,"Professional Fees","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_insuranceagency"
"l10n_id_account_template_insurance_17",62500,"Rent Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_insuranceagency"
"l10n_id_account_template_insurance_18",62600,"Repairs and Maintenance","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_insuranceagency"
"l10n_id_account_template_insurance_19",62700,"Telephone Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_insuranceagency"
"l10n_id_account_template_insurance_20",62800,"Travel Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_insuranceagency"
"l10n_id_account_template_insurance_21",62900,"Utilities","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_insuranceagency"
"l10n_id_account_template_insurance_22",81000,"Ask My Accountant","other","l10n_id.user_type_other_expense","other_expense","FALSE","l10n_id.account_chart_template_insuranceagency"
