"id","code","name","type","user_type/id","parent_id/id","reconcile","chart_template_id/id"
"l10n_id_account_template_it_1",41000,"Consulting Income","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
"l10n_id_account_template_it_2",42000,"Sales - Hardware","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
"l10n_id_account_template_it_3",43000,"Sales - Software","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
"l10n_id_account_template_it_4",44000,"Sales - Support and Maintenance","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
"l10n_id_account_template_it_5",45000,"Shipping and Delivery Income","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
"l10n_id_account_template_it_6",51000,"Freight and Shipping Costs","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
"l10n_id_account_template_it_7",52000,"Merchant Account Fees","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
"l10n_id_account_template_it_8",53000,"Purchases - Hardware for Resale","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
"l10n_id_account_template_it_9",54000,"Purchases - Software for Resale","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
"l10n_id_account_template_it_10",61000,"Advertising and Promotion","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
"l10n_id_account_template_it_11",61100,"Automobile Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
"l10n_id_account_template_it_12",61200,"Bank Service Charges","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
"l10n_id_account_template_it_13",61300,"Computer and Internet Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
"l10n_id_account_template_it_14",61400,"Continuing Education","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
"l10n_id_account_template_it_15",61500,"Depreciation Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
"l10n_id_account_template_it_16",61600,"Dues and Subscriptions","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
"l10n_id_account_template_it_17",61700,"Insurance Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
"l10n_id_account_template_it_18",61800,"Interest Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
"l10n_id_account_template_it_19",61900,"Meals and Entertainment","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
"l10n_id_account_template_it_20",62000,"Office Supplies","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
"l10n_id_account_template_it_21",62100,"Payroll Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
"l10n_id_account_template_it_22",62200,"Professional Fees","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
"l10n_id_account_template_it_23",62300,"Rent Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
"l10n_id_account_template_it_24",62400,"Telephone Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
"l10n_id_account_template_it_25",62500,"Travel Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
"l10n_id_account_template_it_26",62600,"Utilities","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
"l10n_id_account_template_it_27",81000,"Ask My Accountant","other","l10n_id.user_type_other_expense","other_expense","FALSE","l10n_id.account_chart_template_itcomputerssoftware"
