"id","code","name","type","user_type/id","parent_id/id","reconcile","chart_template_id/id"
"l10n_id_account_template_lawn_care_1",12300,"Landscaping Equipment","other","l10n_id.user_type_fixed_asset","fixed_asset","FALSE","l10n_id.account_chart_template_landscaping"
"l10n_id_account_template_lawn_care_2",41000,"Installation Services","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_landscaping"
"l10n_id_account_template_lawn_care_3",42000,"Maintenance Services","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_landscaping"
"l10n_id_account_template_lawn_care_4",51000,"Materials Costs","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_landscaping"
"l10n_id_account_template_lawn_care_23",52000,"Worker's Compensation Insurance","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_landscaping"
"l10n_id_account_template_lawn_care_5",61000,"Advertising and Promotion ","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_landscaping"
"l10n_id_account_template_lawn_care_6",61100,"Auto and Truck expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_landscaping"
"l10n_id_account_template_lawn_care_7",61200,"Computer and Internet expenses ","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_landscaping"
"l10n_id_account_template_lawn_care_8",61300,"Depreciation expenses ","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_landscaping"
"l10n_id_account_template_lawn_care_9",61400,"Interest expense ","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_landscaping"
"l10n_id_account_template_lawn_care_10",61500,"Meals and Entertainment ","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_landscaping"
"l10n_id_account_template_lawn_care_11",61600,"Postage and Delivery","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_landscaping"
"l10n_id_account_template_lawn_care_12",61700,"Rent expense ","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_landscaping"
"l10n_id_account_template_lawn_care_13",61800,"Repair and Maintenance ","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_landscaping"
"l10n_id_account_template_lawn_care_14",61900,"Travel expense ","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_landscaping"
"l10n_id_account_template_lawn_care_15",62000,"Utilities ","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_landscaping"
"l10n_id_account_template_lawn_care_16",62100,"Telephone Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_landscaping"
"l10n_id_account_template_lawn_care_17",62200,"Professional Fees","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_landscaping"
"l10n_id_account_template_lawn_care_18",62300,"Office Supplies","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_landscaping"
"l10n_id_account_template_lawn_care_19",62400,"Payroll Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_landscaping"
"l10n_id_account_template_lawn_care_21",62600,"Insurance expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_landscaping"
"l10n_id_account_template_lawn_care_22",62700,"Bank Service Charges","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_landscaping"
"l10n_id_account_template_lawn_care_25",81000,"Ask My Accountant","other","l10n_id.user_type_other_expense","other_expense","FALSE","l10n_id.account_chart_template_landscaping"
