"id","code","name","type","user_type/id","parent_id/id","reconcile","chart_template_id/id"
"l10n_id_account_template_legal_2",11400,"Advanced Client Costs","view","l10n_id.user_type_other_current_asset","current_asset","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_3",11410,"Advanced Client Costs:Court Costs","other","l10n_id.user_type_other_current_asset","l10n_id_account_template_legal_2","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_4",11420,"Advanced Client Costs:Expert Witness Fees","other","l10n_id.user_type_other_current_asset","l10n_id_account_template_legal_2","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_5",11430,"Advanced Client Costs:Filing Fees","other","l10n_id.user_type_other_current_asset","l10n_id_account_template_legal_2","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_13000",13000,"Other Assets","view","l10n_id.user_type_other_asset","asset","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_6",13100,"Security Deposits Asset","other","l10n_id.user_type_other_asset","l10n_id_account_template_legal_13000","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_7",41000,"Legal Fee Income","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_8",61000,"Advertising and Promotion","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_9",61100,"Automobile Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_10",61200,"Bank Service Charges","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_11",61300,"Computer and Internet Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_12",61400,"Continuing Education","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_13",61500,"Depreciation Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_14",61600,"Dues and Subscriptions","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_15",61700,"Insurance Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_16",61800,"Interest Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_17",61900,"Meals and Entertainment","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_18",62000,"Office Supplies","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_19",62100,"Payroll Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_20",62200,"Postage and Delivery","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_21",62300,"Professional Fees","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_22",62400,"Rent Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_23",62500,"Repairs and Maintenance","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_24",62600,"Research Services","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_25",62700,"Telephone Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_26",62800,"Travel Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_27",62900,"Utilities","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_28",11130,"Client Trust Account","liquidity","account.data_account_type_bank","l10n_id.cash_expenditure","FALSE","l10n_id.account_chart_template_legal_service"
"l10n_id_account_template_legal_29",81000,"Ask My Accountant","other","l10n_id.user_type_other_expense","other_expense","FALSE","l10n_id.account_chart_template_legal_service"
