"id","code","name","type","user_type/id","parent_id/id","reconcile","chart_template_id/id"
"l10n_id_account_template_lodging_1",12300,"Buildings and Improvements","other","account.account_type_asset_view1","fixed_asset","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_2",12400,"Land","other","account.account_type_asset_view1","fixed_asset","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_3",21220,"Customer Deposits","other","l10n_id.user_type_other_current_liability","other_current_liability","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_4",41000,"Food and Beverage Sales","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_5",42000,"Gift Shop and Vending Sales","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_6",43000,"Lodging Sales","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_7",51000,"Linens and Lodging Supplies","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_8",52000,"Merchant Account Fees","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_9",53000,"Purchases - Resale Items","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_10",61000,"Advertising and Promotion","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_11",61100,"Automobile Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_12",61200,"Bank Service Charges","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_13",61300,"Business Licenses and Permits","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_14",61400,"Computer and Internet Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_15",61500,"Depreciation Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_16",61600,"Dues and Subscriptions","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_17",61700,"Insurance Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_18",61800,"Interest Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_19",61900,"Landscaping and Groundskeeping","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_20",62000,"Office Supplies","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_21",62100,"Payroll Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_22",62200,"Professional Fees","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_23",62300,"Repairs and Maintenance","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_24",62400,"Small Tools and Equipment","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_25",62500,"Telephone Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_26",62600,"Uniforms","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_27",62700,"Utilities","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_lodging"
"l10n_id_account_template_lodging_28",81000,"Ask My Accountant","other","l10n_id.user_type_other_expense","other_expense","FALSE","l10n_id.account_chart_template_lodging"
