"id","code","name","type","user_type/id","parent_id/id","reconcile","chart_template_id/id"
"l10n_id_account_template_repair_1",41000,"Parts and Material Sales","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_maintenance"
"l10n_id_account_template_repair_2",42000,"Services Income","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_maintenance"
"l10n_id_account_template_repair_3",51000,"Purchases - Parts and Materials","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_maintenance"
"l10n_id_account_template_repair_4",61000,"Advertising and Promotion","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_maintenance"
"l10n_id_account_template_repair_5",61100,"Auto and Truck Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_maintenance"
"l10n_id_account_template_repair_6",61200,"Bank Service Charges","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_maintenance"
"l10n_id_account_template_repair_7",61300,"Computer and Internet Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_maintenance"
"l10n_id_account_template_repair_8",61400,"Depreciation Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_maintenance"
"l10n_id_account_template_repair_9",61500,"Insurance Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_maintenance"
"l10n_id_account_template_repair_10",61600,"Interest Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_maintenance"
"l10n_id_account_template_repair_11",61700,"Meals and Entertainment","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_maintenance"
"l10n_id_account_template_repair_12",61800,"Office Supplies","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_maintenance"
"l10n_id_account_template_repair_13",61900,"Payroll Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_maintenance"
"l10n_id_account_template_repair_14",62000,"Professional Fees","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_maintenance"
"l10n_id_account_template_repair_15",62100,"Telephone Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_maintenance"
"l10n_id_account_template_repair_16",62200,"Utilities","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_maintenance"
"l10n_id_account_template_repair_17",81000,"Ask My Accountant","other","l10n_id.user_type_other_expense","other_expense","FALSE","l10n_id.account_chart_template_maintenance"
