"id","code","name","type","user_type/id","parent_id/id","reconcile","chart_template_id/id"
"l10n_id_account_template_manu_rep_1",41000,"Commission Income","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_manufacturer"
"l10n_id_account_template_manu_rep_2",61000,"Automobile Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_manufacturer"
"l10n_id_account_template_manu_rep_3",61100,"Bank Service Charges","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_manufacturer"
"l10n_id_account_template_manu_rep_4",61200,"Computer and Internet Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_manufacturer"
"l10n_id_account_template_manu_rep_5",61300,"Depreciation Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_manufacturer"
"l10n_id_account_template_manu_rep_6",61400,"Dues and Subscriptions","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_manufacturer"
"l10n_id_account_template_manu_rep_7",61500,"Insurance Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_manufacturer"
"l10n_id_account_template_manu_rep_8",61600,"Interest Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_manufacturer"
"l10n_id_account_template_manu_rep_9",61700,"Meals and Entertainment","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_manufacturer"
"l10n_id_account_template_manu_rep_10",61800,"Office Supplies","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_manufacturer"
"l10n_id_account_template_manu_rep_11",61900,"Payroll Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_manufacturer"
"l10n_id_account_template_manu_rep_12",62000,"Postage and Delivery","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_manufacturer"
"l10n_id_account_template_manu_rep_13",62100,"Professional Fees","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_manufacturer"
"l10n_id_account_template_manu_rep_14",62200,"Rent Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_manufacturer"
"l10n_id_account_template_manu_rep_15",62300,"Telephone Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_manufacturer"
"l10n_id_account_template_manu_rep_16",62400,"Travel Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_manufacturer"
"l10n_id_account_template_manu_rep_17",81000,"Ask My Accountant","other","l10n_id.user_type_other_expense","other_expense","FALSE","l10n_id.account_chart_template_manufacturer"
