id,code,name,type,user_type/id,parent_id/id,reconcile,chart_template_id/id
l10n_id_account_template_manufacturing_410000,410000,Penjualan Produk,other,l10n_id.user_type_income,income,FALSE,l10n_id.account_chart_template_manufacturing
l10n_id_account_template_manufacturing_420000,420000,Penerimaan dari Jasa Pengiriman,other,l10n_id.user_type_income,income,FALSE,l10n_id.account_chart_template_manufacturing
l10n_id_account_template_manufacturing_510000,510000,Pemakaian Bahan Baku,other,l10n_id.user_type_cogs,cogs,FALSE,l10n_id.account_chart_template_manufacturing
l10n_id_account_template_manufacturing_520000,520000,Upah Buruh,other,l10n_id.user_type_cogs,cogs,FALSE,l10n_id.account_chart_template_manufacturing
l10n_id_account_template_manufacturing_530000,530000,Pengepakan,other,l10n_id.user_type_cogs,cogs,FALSE,l10n_id.account_chart_template_manufacturing
l10n_id_account_template_manufacturing_540000,540000,Produk Rusak/Reject,other,l10n_id.user_type_cogs,cogs,FALSE,l10n_id.account_chart_template_manufacturing
l10n_id_account_template_manufacturing_550000,550000,Sisa Produksi/Waste,other,l10n_id.user_type_cogs,cogs,FALSE,l10n_id.account_chart_template_manufacturing
l10n_id_account_template_manufacturing_610000,610000,Beban Administrasi dan Umum,view,l10n_id.user_type_expense,expense,FALSE,l10n_id.account_chart_template_manufacturing
l10n_id_account_template_manufacturing_610100,610100,By. Adm & Umum - Gaji dan Upah,view,l10n_id.user_type_expense,l10n_id_account_template_manufacturing_610000,FALSE,l10n_id.account_chart_template_manufacturing
l10n_id_account_template_manufacturing_610101,610101,By. Adm & Umum - Gj dan Upah - Gaji & Upah Pokok,other,l10n_id.user_type_expense,l10n_id_account_template_manufacturing_610100,FALSE,l10n_id.account_chart_template_manufacturing
l10n_id_account_template_manufacturing_610102,610102,By. Adm & Umum - Gj dan Upah - THR,other,l10n_id.user_type_expense,l10n_id_account_template_manufacturing_610100,FALSE,l10n_id.account_chart_template_manufacturing
l10n_id_account_template_manufacturing_610103,610103,By. Adm & Umum - Gj dan Upah - Komisi & Bonus,other,l10n_id.user_type_expense,l10n_id_account_template_manufacturing_610100,FALSE,l10n_id.account_chart_template_manufacturing
l10n_id_account_template_manufacturing_610104,610104,By. Adm & Umum - Gj dan Upah - Astek,other,l10n_id.user_type_expense,l10n_id_account_template_manufacturing_610100,FALSE,l10n_id.account_chart_template_manufacturing
l10n_id_account_template_manufacturing_610105,610105,By. Adm & Umum - Gj dan Upah - PPh 21,other,l10n_id.user_type_expense,l10n_id_account_template_manufacturing_610100,FALSE,l10n_id.account_chart_template_manufacturing
l10n_id_account_template_manufacturing_610200,610200,By. Adm & Umum - Perjalanan Dinas,view,l10n_id.user_type_expense,l10n_id_account_template_manufacturing_610000,FALSE,l10n_id.account_chart_template_manufacturing
l10n_id_account_template_manufacturing_610201,610201,By. Adm & Umum - Perjalanan Dinas - Bahan Bakar,other,l10n_id.user_type_expense,l10n_id_account_template_manufacturing_610200,FALSE,l10n_id.account_chart_template_manufacturing
