"id","code","name","type","user_type/id","parent_id/id","reconcile","chart_template_id/id"
"l10n_id_account_template_nonprofit_13000",13000,"Other Assets","view","l10n_id.user_type_other_asset","asset","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_1",13100,"Marketable Securities","other","l10n_id.user_type_other_asset","l10n_id_account_template_nonprofit_13000","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_2",13200,"Other Assets","other","l10n_id.user_type_other_asset","l10n_id_account_template_nonprofit_13000","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_3",13300,"Security Deposits Asset","other","l10n_id.user_type_other_asset","l10n_id_account_template_nonprofit_13000","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_4",21220,"Other Liabilities","other","l10n_id.user_type_long_term_liability","other_current_liability","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_5",41100,"Direct Public Support","view","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_6",41110,"Direct Public Support: Corporate Contributions","other","l10n_id.user_type_income","l10n_id_account_template_nonprofit_5","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_7",41120,"Direct Public Support: Gifts in Kind - Goods","other","l10n_id.user_type_income","l10n_id_account_template_nonprofit_5","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_8",41130,"Direct Public Support: Individ, Business Contributions","other","l10n_id.user_type_income","l10n_id_account_template_nonprofit_5","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_9",41200,"Indirect Public Support","view","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_10",41210,"Indirect Public Support: United Way, CFC Contributions","other","l10n_id.user_type_income","l10n_id_account_template_nonprofit_9","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_11",41300,"Investments","view","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_12",41310,"Investments: Interest-Savings, Short-term CD","other","l10n_id.user_type_income","l10n_id_account_template_nonprofit_11","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_13",41400,"Other Types of Income","view","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_14",41410,"Other Types of Income: Miscellaneous Revenue","other","l10n_id.user_type_income","l10n_id_account_template_nonprofit_13","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_15",41500,"Program Income","view","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_16",41510,"Program Income: Membership Dues","other","l10n_id.user_type_income","l10n_id_account_template_nonprofit_15","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_17",41520,"Program Income: Program Service Fees","other","l10n_id.user_type_income","l10n_id_account_template_nonprofit_15","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_18",61100,"Business Expenses","view","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_19",61110,"Business Expenses: Business Registration Fees","other","l10n_id.user_type_expense","l10n_id_account_template_nonprofit_18","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_20",61200,"Contract Services","view","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_21",61210,"Contract Services: Accounting Fees","other","l10n_id.user_type_expense","l10n_id_account_template_nonprofit_20","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_22",61220,"Contract Services: Legal Fees","other","l10n_id.user_type_expense","l10n_id_account_template_nonprofit_20","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_23",61230,"Contract Services: Outside Contract Services","other","l10n_id.user_type_expense","l10n_id_account_template_nonprofit_20","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_24",61300,"Facilities and Equipment","view","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_25",61310,"Facilities and Equipment: Depr and Amort - Allowable","other","l10n_id.user_type_expense","l10n_id_account_template_nonprofit_24","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_26",61320,"Facilities and Equipment: Donated Facilities","other","l10n_id.user_type_expense","l10n_id_account_template_nonprofit_24","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_27",61330,"Facilities and Equipment: Equip Rental and Maintenance","other","l10n_id.user_type_expense","l10n_id_account_template_nonprofit_24","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_28",61340,"Facilities and Equipment: Property Insurance","other","l10n_id.user_type_expense","l10n_id_account_template_nonprofit_24","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_29",61350,"Facilities and Equipment: Rent, Parking, Utilities","other","l10n_id.user_type_expense","l10n_id_account_template_nonprofit_24","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_30",61400,"Operations","view","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_31",61410,"Operations: Books, Subscriptions, Reference","other","l10n_id.user_type_expense","l10n_id_account_template_nonprofit_30","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_32",61420,"Operations: Postage, Mailing Service","other","l10n_id.user_type_expense","l10n_id_account_template_nonprofit_30","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_33",61430,"Operations: Printing and Copying","other","l10n_id.user_type_expense","l10n_id_account_template_nonprofit_30","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_34",61440,"Operations: Supplies","other","l10n_id.user_type_expense","l10n_id_account_template_nonprofit_30","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_35",61450,"Operations: Telephone, Telecommunications","other","l10n_id.user_type_expense","l10n_id_account_template_nonprofit_30","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
"l10n_id_account_template_nonprofit_36",61500,"Other Types of Expenses","view","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_nonprofitorganizations"
