"id","code","name","type","user_type/id","parent_id/id","reconcile","chart_template_id/id"
"l10n_id_account_template_professional_1",41000,"Consulting Income","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_professional"
"l10n_id_account_template_professional_2",61000,"Advertising and Promotion","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_professional"
"l10n_id_account_template_professional_3",61100,"Automobile Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_professional"
"l10n_id_account_template_professional_4",61200,"Bank Service Charges","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_professional"
"l10n_id_account_template_professional_5",61300,"Computer and Internet Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_professional"
"l10n_id_account_template_professional_6",61400,"Continuing Education","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_professional"
"l10n_id_account_template_professional_7",61500,"Depreciation Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_professional"
"l10n_id_account_template_professional_8",61600,"Dues and Subscriptions","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_professional"
"l10n_id_account_template_professional_9",61700,"Insurance Expense","view","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_professional"
"l10n_id_account_template_professional_10",61710,"Insurance Expense:General Liability Insurance","other","l10n_id.user_type_expense","l10n_id_account_template_professional_9","FALSE","l10n_id.account_chart_template_professional"
"l10n_id_account_template_professional_11",61800,"Interest Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_professional"
"l10n_id_account_template_professional_12",61900,"Meals and Entertainment","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_professional"
"l10n_id_account_template_professional_13",62000,"Office Supplies","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_professional"
"l10n_id_account_template_professional_14",62100,"Payroll Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_professional"
"l10n_id_account_template_professional_15",62200,"Professional Fees","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_professional"
"l10n_id_account_template_professional_16",62300,"Rent Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_professional"
"l10n_id_account_template_professional_17",62400,"Repairs and Maintenance","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_professional"
"l10n_id_account_template_professional_18",62500,"Telephone Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_professional"
"l10n_id_account_template_professional_19",62600,"Travel Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_professional"
"l10n_id_account_template_professional_20",62700,"Utilities","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_professional"
"l10n_id_account_template_professional_21",81000,"Ask My Accountant","other","l10n_id.user_type_other_expense","other_expense","FALSE","l10n_id.account_chart_template_professional"
