"id","code","name","type","user_type/id","parent_id/id","reconcile","chart_template_id/id"
"l10n_id_account_template_property_1",21220,"Tenant Security Deposits Held","other","l10n_id.user_type_other_current_liability","other_current_liability","FALSE","l10n_id.account_chart_template_propertymanagement"
"l10n_id_account_template_property_2",61000,"Automobile Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_propertymanagement"
"l10n_id_account_template_property_3",61100,"Computer and Internet Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_propertymanagement"
"l10n_id_account_template_property_4",61200,"Depreciation Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_propertymanagement"
"l10n_id_account_template_property_5",61300,"Insurance Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_propertymanagement"
"l10n_id_account_template_property_6",61400,"Interest Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_propertymanagement"
"l10n_id_account_template_property_7",61500,"Landscaping and Groundskeeping","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_propertymanagement"
"l10n_id_account_template_property_8",61600,"Meals and Entertainment","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_propertymanagement"
"l10n_id_account_template_property_9",61700,"Office Supplies","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_propertymanagement"
"l10n_id_account_template_property_10",61800,"Payroll Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_propertymanagement"
"l10n_id_account_template_property_11",61900,"Postage and Delivery","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_propertymanagement"
"l10n_id_account_template_property_12",62000,"Professional Fees","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_propertymanagement"
"l10n_id_account_template_property_13",62100,"Property Management Fees","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_propertymanagement"
"l10n_id_account_template_property_14",62200,"Rent Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_propertymanagement"
"l10n_id_account_template_property_15",62300,"Repairs and Maintenance","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_propertymanagement"
"l10n_id_account_template_property_16",62400,"Small Tools and Equipment","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_propertymanagement"
"l10n_id_account_template_property_17",62500,"Telephone Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_propertymanagement"
"l10n_id_account_template_property_18",62600,"Utilities","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_propertymanagement"
"l10n_id_account_template_property_19",81000,"Ask My Accountant","other","l10n_id.user_type_other_expense","other_expense","FALSE","l10n_id.account_chart_template_propertymanagement"
