"id","code","name","type","user_type/id","parent_id/id","reconcile","chart_template_id/id"
"l10n_id_account_template_religious_2",41000,"Benevolence Offerings","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_3",42000,"Building Fund","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_4",43000,"Children's Church Offering","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_5",44000,"Mission Offerings","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_6",45000,"Pledges","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_7",46000,"Special Services Income","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_8",47000,"Tithes/Offerings","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_9",48000,"Youth Group","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_10",61000,"Advertising and Promotion","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_11",61100,"Automobile Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_12",61200,"Bank Service Charges","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_13",61300,"Building and Property Security","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_14",61400,"Charitable Contributions","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_15",61500,"Computer and Internet Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_16",61600,"Conferences and Meetings","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_17",61700,"Depreciation Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_18",61800,"Dues and Subscriptions","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_19",61900,"Evangelism and Special Events","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_20",62000,"Insurance Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_21",62100,"Interest Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_22",62200,"Landscaping Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_23",62300,"Ministry Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_24",62400,"Office Supplies","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_25",62500,"Outside Services","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_26",62600,"Payroll Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_27",62700,"Postage and Delivery","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_28",62800,"Printing and Reproduction","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_29",62900,"Professional Fees","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_30",63000,"Rent Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_31",63100,"Repairs and Maintenance","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_32",63200,"Small Tools and Equipment","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_33",63300,"Telephone Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_34",63400,"Utilities","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_religiousorganization"
"l10n_id_account_template_religious_35",81000,"Ask My Accountant","other","l10n_id.user_type_other_expense","other_expense","FALSE","l10n_id.account_chart_template_religiousorganization"
