"id","code","name","type","user_type/id","parent_id/id","reconcile","chart_template_id/id"
"l10n_id_account_template_rental_1",21220,"Tenant Security Deposits Held","other","l10n_id.user_type_other_current_liability","other_current_liability","FALSE","l10n_id.account_chart_template_rental"
"l10n_id_account_template_rental_2",41000,"Rental Income ","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_rental"
"l10n_id_account_template_rental_3",71000,"Late Fees Income","other","l10n_id.user_type_other_income","other_income","FALSE","l10n_id.account_chart_template_rental"
"l10n_id_account_template_rental_4",61000,"Advertising and Promotion","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_rental"
"l10n_id_account_template_rental_5",61100,"Automobile Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_rental"
"l10n_id_account_template_rental_6",61200,"Bank Service Charges","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_rental"
"l10n_id_account_template_rental_7",61300,"Computer and Internet Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_rental"
"l10n_id_account_template_rental_8",61400,"Depreciation Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_rental"
"l10n_id_account_template_rental_9",61500,"Dues and Subscriptions","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_rental"
"l10n_id_account_template_rental_10",61600,"Insurance Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_rental"
"l10n_id_account_template_rental_11",61700,"Interest Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_rental"
"l10n_id_account_template_rental_12",61800,"Meals and Entertainment","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_rental"
"l10n_id_account_template_rental_13",61900,"Office Supplies","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_rental"
"l10n_id_account_template_rental_14",62000,"Payroll Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_rental"
"l10n_id_account_template_rental_15",62100,"Professional Fees","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_rental"
"l10n_id_account_template_rental_16",62200,"Repairs and Maintenance","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_rental"
"l10n_id_account_template_rental_17",62300,"Small Tools and Equipment","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_rental"
"l10n_id_account_template_rental_18",62400,"Taxes - Property","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_rental"
"l10n_id_account_template_rental_19",62500,"Telephone Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_rental"
"l10n_id_account_template_rental_20",62600,"Travel Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_rental"
"l10n_id_account_template_rental_21",62700,"Utilities","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_rental"
"l10n_id_account_template_rental_22",81000,"Ask My Accountant","other","l10n_id.user_type_other_expense","other_expense","FALSE","l10n_id.account_chart_template_rental"
