"id","code","name","type","user_type/id","parent_id/id","reconcile","chart_template_id/id"
"other_current_asset_account_template_restaurant",13000,"Other Current Assets","view","l10n_id.user_type_other_current_asset","asset","FALSE","l10n_id.account_chart_template_restaurant"
"l10n_id_account_template_restaurant_1",13100,"Food Inventory","other","l10n_id.user_type_other_current_asset","other_current_asset_account_template_restaurant","FALSE","l10n_id.account_chart_template_restaurant"
"l10n_id_account_template_restaurant_2",13200,"Security Deposits Asset","other","l10n_id.user_type_other_current_asset","other_current_asset_account_template_restaurant","FALSE","l10n_id.account_chart_template_restaurant"
"l10n_id_account_template_restaurant_3",21220,"Employee Tips Payable","other","l10n_id.user_type_other_current_liability","other_current_liability","FALSE","l10n_id.account_chart_template_restaurant"
"l10n_id_account_template_restaurant_4",41000,"Food Sales ","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_restaurant"
"l10n_id_account_template_restaurant_5",51000,"Food Purchases","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_restaurant"
"l10n_id_account_template_restaurant_6",52000,"Merchant Account Fees","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_restaurant"
"l10n_id_account_template_restaurant_7",53000,"Restaurant Supplies ","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_restaurant"
"l10n_id_account_template_restaurant_8",61000,"Advertising and Promotion","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_restaurant"
"l10n_id_account_template_restaurant_9",61100,"Bank Service Charges","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_restaurant"
"l10n_id_account_template_restaurant_10",61200,"Business Licenses and Permits","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_restaurant"
"l10n_id_account_template_restaurant_11",61300,"Computer and Internet Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_restaurant"
"l10n_id_account_template_restaurant_12",61400,"Depreciation Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_restaurant"
"l10n_id_account_template_restaurant_13",61500,"Insurance Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_restaurant"
"l10n_id_account_template_restaurant_14",61600,"Office Supplies","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_restaurant"
"l10n_id_account_template_restaurant_15",61700,"Payroll Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_restaurant"
"l10n_id_account_template_restaurant_16",61800,"Professional Fees","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_restaurant"
"l10n_id_account_template_restaurant_17",61900,"Rent Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_restaurant"
"l10n_id_account_template_restaurant_18",62000,"Repairs and Maintenance","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_restaurant"
"l10n_id_account_template_restaurant_19",62100,"Telephone Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_restaurant"
"l10n_id_account_template_restaurant_20",62200,"Uniforms","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_restaurant"
"l10n_id_account_template_restaurant_62300",62300,"Utilities","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_restaurant"
"l10n_id_account_template_restaurant_21",81000,"Ask My Accountant","other","l10n_id.user_type_other_expense","other_expense","FALSE","l10n_id.account_chart_template_restaurant"
