id,code,name,type,user_type/id,parent_id/id,reconcile,chart_template_id/id
l10n_id_account_template_retailshop_13000,13000,Other Assets,view,l10n_id.user_type_other_asset,asset,FALSE,l10n_id.account_chart_template_retailshop
l10n_id_account_template_retailshop_1,13100,Security Deposits Asset,other,l10n_id.user_type_other_asset,l10n_id_account_template_retailshop_13000,FALSE,l10n_id.account_chart_template_retailshop
l10n_id_account_template_retailshop_2,41000,Merchandise Sales,other,l10n_id.user_type_income,income,FALSE,l10n_id.account_chart_template_retailshop
l10n_id_account_template_retailshop_3,42000,Sales Discounts,other,l10n_id.user_type_income,income,FALSE,l10n_id.account_chart_template_retailshop
l10n_id_account_template_retailshop_4,51000,Merchant Account Fees,other,l10n_id.user_type_cogs,cogs,FALSE,l10n_id.account_chart_template_retailshop
l10n_id_account_template_retailshop_5,61000,Advertising and Promotion,other,l10n_id.user_type_expense,expense,FALSE,l10n_id.account_chart_template_retailshop
l10n_id_account_template_retailshop_6,61100,Automobile Expense,other,l10n_id.user_type_expense,expense,FALSE,l10n_id.account_chart_template_retailshop
l10n_id_account_template_retailshop_7,61200,Bank Service Charges,other,l10n_id.user_type_expense,expense,FALSE,l10n_id.account_chart_template_retailshop
l10n_id_account_template_retailshop_8,61300,Computer and Internet Expenses,other,l10n_id.user_type_expense,expense,FALSE,l10n_id.account_chart_template_retailshop
l10n_id_account_template_retailshop_9,61400,Depreciation Expense,other,l10n_id.user_type_expense,expense,FALSE,l10n_id.account_chart_template_retailshop
l10n_id_account_template_retailshop_10,61500,Insurance Expense,other,l10n_id.user_type_expense,expense,FALSE,l10n_id.account_chart_template_retailshop
l10n_id_account_template_retailshop_11,61600,Interest Expense,other,l10n_id.user_type_expense,expense,FALSE,l10n_id.account_chart_template_retailshop
l10n_id_account_template_retailshop_12,61700,Janitorial Expense,other,l10n_id.user_type_expense,expense,FALSE,l10n_id.account_chart_template_retailshop
l10n_id_account_template_retailshop_13,61800,Meals and Entertainment,other,l10n_id.user_type_expense,expense,FALSE,l10n_id.account_chart_template_retailshop
l10n_id_account_template_retailshop_14,61900,Office Supplies,other,l10n_id.user_type_expense,expense,FALSE,l10n_id.account_chart_template_retailshop
l10n_id_account_template_retailshop_15,62000,Payroll Expenses,other,l10n_id.user_type_expense,expense,FALSE,l10n_id.account_chart_template_retailshop
l10n_id_account_template_retailshop_16,62100,Professional Fees,other,l10n_id.user_type_expense,expense,FALSE,l10n_id.account_chart_template_retailshop
l10n_id_account_template_retailshop_17,62200,Rent Expense,other,l10n_id.user_type_expense,expense,FALSE,l10n_id.account_chart_template_retailshop
l10n_id_account_template_retailshop_18,62300,Repairs and Maintenance,other,l10n_id.user_type_expense,expense,FALSE,l10n_id.account_chart_template_retailshop
l10n_id_account_template_retailshop_19,62400,Telephone Expense,other,l10n_id.user_type_expense,expense,FALSE,l10n_id.account_chart_template_retailshop
l10n_id_account_template_retailshop_20,62500,Uniforms,other,l10n_id.user_type_expense,expense,FALSE,l10n_id.account_chart_template_retailshop
l10n_id_account_template_retailshop_21,62600,Utilities,other,l10n_id.user_type_expense,expense,FALSE,l10n_id.account_chart_template_retailshop
l10n_id_account_template_retailshop_22,81000,Ask My Accountant,other,l10n_id.user_type_other_expense,other_expense,FALSE,l10n_id.account_chart_template_retailshop
