"id","code","name","type","user_type/id","parent_id/id","reconcile","chart_template_id/id"
"l10n_id_account_template_sales_2",41000,"Commission Income","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_salesindependent"
"l10n_id_account_template_sales_3",61000,"Automobile Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_salesindependent"
"l10n_id_account_template_sales_4",61100,"Bank Service Charges","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_salesindependent"
"l10n_id_account_template_sales_5",61200,"Computer and Internet Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_salesindependent"
"l10n_id_account_template_sales_6",61300,"Depreciation Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_salesindependent"
"l10n_id_account_template_sales_7",61400,"Insurance Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_salesindependent"
"l10n_id_account_template_sales_8",61500,"Interest Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_salesindependent"
"l10n_id_account_template_sales_9",61600,"Meals and Entertainment","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_salesindependent"
"l10n_id_account_template_sales_10",61700,"Office Supplies","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_salesindependent"
"l10n_id_account_template_sales_11",61800,"Payroll Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_salesindependent"
"l10n_id_account_template_sales_12",61900,"Professional Fees","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_salesindependent"
"l10n_id_account_template_sales_13",62000,"Telephone Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_salesindependent"
"l10n_id_account_template_sales_14",62100,"Travel Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_salesindependent"
"l10n_id_account_template_sales_15",81000,"Ask My Accountant","other","l10n_id.user_type_other_expense","other_expense","FALSE","l10n_id.account_chart_template_salesindependent"
