"id","code","name","type","user_type/id","parent_id/id","reconcile","chart_template_id/id"
"other_current_asset_account_template_transport",13000,"Other Current Assets","view","l10n_id.user_type_other_current_asset","asset","FALSE","l10n_id.account_chart_template_transport"
"l10n_id_account_template_transport_1",13100,"Driver Advances","other","l10n_id.user_type_other_current_asset","other_current_asset_account_template_transport","FALSE","l10n_id.account_chart_template_transport"
"l10n_id_account_template_transport_2",13200,"Prepaid Insurance","other","l10n_id.user_type_other_current_asset","other_current_asset_account_template_transport","FALSE","l10n_id.account_chart_template_transport"
"l10n_id_account_template_transport_3",12300,"Tractors and Trailers","other","account.account_type_asset_view1","fixed_asset","FALSE","l10n_id.account_chart_template_transport"
"l10n_id_account_template_transport_4",41000,"Fuel Surcharge","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_transport"
"l10n_id_account_template_transport_5",42000,"Gross Trucking Income","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_transport"
"l10n_id_account_template_transport_6",51000,"Fuel for Hired Vehicles","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_transport"
"l10n_id_account_template_transport_7",52000,"Travel Expenses for Drivers","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_transport"
"l10n_id_account_template_transport_8",53000,"Truck Maintenance Costs","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_transport"
"l10n_id_account_template_transport_9",61000,"Automobile Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_transport"
"l10n_id_account_template_transport_10",61100,"Bank Service Charges","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_transport"
"l10n_id_account_template_transport_11",61200,"Business Licenses and Permits","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_transport"
"l10n_id_account_template_transport_12",61300,"Computer and Internet Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_transport"
"l10n_id_account_template_transport_13",61400,"Depreciation Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_transport"
"l10n_id_account_template_transport_14",61500,"Insurance Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_transport"
"l10n_id_account_template_transport_15",61600,"Interest Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_transport"
"l10n_id_account_template_transport_16",61700,"Meals and Entertainment","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_transport"
"l10n_id_account_template_transport_17",61800,"Office Supplies","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_transport"
"l10n_id_account_template_transport_18",61900,"Payroll Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_transport"
"l10n_id_account_template_transport_19",62000,"Professional Fees","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_transport"
"l10n_id_account_template_transport_20",62100,"Rent Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_transport"
"l10n_id_account_template_transport_21",62200,"Repairs and Maintenance","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_transport"
"l10n_id_account_template_transport_22",62300,"Small Tools and Equipment","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_transport"
"l10n_id_account_template_transport_23",62400,"Telephone Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_transport"
"l10n_id_account_template_transport_24",62500,"Utilities","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_transport"
"l10n_id_account_template_transport_25",81000,"Ask My Accountant","other","l10n_id.user_type_other_expense","other_expense","FALSE","l10n_id.account_chart_template_transport"
