"id","code","name","type","user_type/id","parent_id/id","reconcile","chart_template_id/id"
"l10n_id_account_template_wholesale_1",12300,"Warehouse Equipment","other","account.account_type_asset_view1","fixed_asset","FALSE","l10n_id.account_chart_template_wholesalesdistribution"
"l10n_id_account_template_wholesale_2",12400,"Tractors and Trailers","other","account.account_type_asset_view1","fixed_asset","FALSE","l10n_id.account_chart_template_wholesalesdistribution"
"l10n_id_account_template_wholesale_4",41000,"Sales","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_wholesalesdistribution"
"l10n_id_account_template_wholesale_5",42000,"Shipping and Delivery Income","other","l10n_id.user_type_income","income","FALSE","l10n_id.account_chart_template_wholesalesdistribution"
"l10n_id_account_template_wholesale_6",51000,"Freight Costs","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_wholesalesdistribution"
"l10n_id_account_template_wholesale_7",52000,"Merchant Account Fees","other","l10n_id.user_type_cogs","cogs","FALSE","l10n_id.account_chart_template_wholesalesdistribution"
"l10n_id_account_template_wholesale_8",61000,"Advertising and Promotion","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_wholesalesdistribution"
"l10n_id_account_template_wholesale_10",61100,"Auto and Truck Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_wholesalesdistribution"
"l10n_id_account_template_wholesale_11",61200,"Bank Service Charges","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_wholesalesdistribution"
"l10n_id_account_template_wholesale_12",61300,"Computer and Internet Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_wholesalesdistribution"
"l10n_id_account_template_wholesale_13",61400,"Depreciation Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_wholesalesdistribution"
"l10n_id_account_template_wholesale_14",61500,"Insurance Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_wholesalesdistribution"
"l10n_id_account_template_wholesale_15",61600,"Interest Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_wholesalesdistribution"
"l10n_id_account_template_wholesale_16",61700,"Meals and Entertainment","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_wholesalesdistribution"
"l10n_id_account_template_wholesale_17",61800,"Office Supplies","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_wholesalesdistribution"
"l10n_id_account_template_wholesale_18",61900,"Payroll Expenses","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_wholesalesdistribution"
"l10n_id_account_template_wholesale_19",62000,"Printing and Reproduction","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_wholesalesdistribution"
"l10n_id_account_template_wholesale_20",62100,"Professional Fees","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_wholesalesdistribution"
"l10n_id_account_template_wholesale_21",62200,"Rent Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_wholesalesdistribution"
"l10n_id_account_template_wholesale_22",62300,"Repairs and Maintenance","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_wholesalesdistribution"
"l10n_id_account_template_wholesale_23",62400,"Taxes - Property","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_wholesalesdistribution"
"l10n_id_account_template_wholesale_24",62500,"Telephone Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_wholesalesdistribution"
"l10n_id_account_template_wholesale_25",62600,"Travel Expense","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_wholesalesdistribution"
"l10n_id_account_template_wholesale_26",62700,"Utilities","other","l10n_id.user_type_expense","expense","FALSE","l10n_id.account_chart_template_wholesalesdistribution"
"l10n_id_account_template_wholesale_27",81000,"Ask My Accountant","other","l10n_id.user_type_other_expense","other_expense","FALSE","l10n_id.account_chart_template_wholesalesdistribution"
